Topic Name,Links,Information and Text,Cluster
5.6.cusparse extra function reference,#cusparse-extra-function-reference,5.6.cusparse extra function reference this chapter describes the extra routines used to manipulate sparse matrices.,1
5.6.1.cusparse<t>csrgeam2(),#csrgeam2,"5.6.1.cusparse<t>csrgeam2() this function performs following matrix-matrix operation wherea,b, andcaremnsparse matrices (defined in csr storage format by the three arrayscsrvala|csrvalb|csrvalc,csrrowptra|csrrowptrb|csrrowptrc, andcsrcolinda|csrcolindb|csrcolindcrespectively), and\(\alpha\text{~and~}\beta\)are scalars. sinceaandbhave different sparsity patterns, cusparse adopts a two-step approach to complete sparse matrixc. in the first step, the user allocatescsrrowptrcofm+1elements and uses functioncusparsexcsrgeam2nnz()to determinecsrrowptrcand the total number of nonzero elements. in the second step, the user gathersnnzc(number of nonzero elements of matrixc) from either(nnzc=*nnztotaldevhostptr)or(nnzc=csrrowptrc(m)-csrrowptrc(0))and allocatescsrvalc,csrcolindcofnnzcelements respectively, then finally calls functioncusparse[s|d|c|z]csrgeam2()to complete matrixc. the general procedure is as follows: several comments oncsrgeam2(): input output seecusparsestatus_tfor the description of the return status",1
5.7.cusparse preconditioners reference,#cusparse-preconditioners-reference,5.7.cusparse preconditioners reference this chapter describes the routines that implement different preconditioners.,1
5.7.1.incomplete cholesky factorization: level 0 [deprecated],#incomplete-cholesky-factorization-level-0-deprecated,5.7.1.incomplete cholesky factorization: level 0 [deprecated] different algorithms for ic0 are discussed in this section.,1
5.7.2.incomplete lu factorization: level 0 [deprecated],#incomplete-lu-factorization-level-0-deprecated,5.7.2.incomplete lu factorization: level 0 [deprecated] different algorithms for ilu0 are discussed in this section.,6
5.7.3.tridiagonal solve,#tridiagonal-solve,5.7.3.tridiagonal solve different algorithms for tridiagonal solve are discussed in this section.,1
5.7.4.batched tridiagonal solve,#batched-tridiagonal-solve,5.7.4.batched tridiagonal solve different algorithms for batched tridiagonal solve are discussed in this section.,1
5.7.5.batched pentadiagonal solve,#batched-pentadiagonal-solve,5.7.5.batched pentadiagonal solve different algorithms for batched pentadiagonal solve are discussed in this section.,1
5.8.cusparse reorderings reference,#cusparse-reorderings-reference,5.8.cusparse reorderings reference this chapter describes the reordering routines used to manipulate sparse matrices.,1
5.8.1.cusparse<t>csrcolor()[deprecated],#csrcol,"5.8.1.cusparse<t>csrcolor()[deprecated] this function performs the coloring of the adjacency graph associated with the matrix a stored in csr format. the coloring is an assignment of colors (integer numbers) to nodes, such that neighboring nodes have distinct colors. an approximate coloring algorithm is used in this routine, and is stopped when a certain percentage of nodes has been colored. the rest of the nodes are assigned distinct colors (an increasing sequence of integers numbers, starting from the last integer used previously). the last two auxiliary routines can be used to extract the resulting number of colors, their assignment and the associated reordering. the reordering is such that nodes that have been assigned the same color are reordered to be next to each other. the matrix a passed to this routine, must be stored as a general matrix and have a symmetric sparsity pattern. if the matrix is nonsymmetric the user should pass a+a^t as a parameter to this routine. input output seecusparsestatus_tfor the description of the return status.",1
5.9.cusparse format conversion reference,#cusparse-format-conversion-reference,"5.9.cusparse format conversion reference this chapter describes the conversion routines between different sparse and dense storage formats. coosort,csrsort,cscsort, andcsru2csrare sorting routines without malloc inside, the following table estimates the buffer size.",1
5.9.1.cusparse<t>bsr2csr(),#bsr2csr,"5.9.1.cusparse<t>bsr2csr() this function converts a sparse matrix in bsr format that is defined by the three arraysbsrvala,bsrrowptra, andbsrcolinda) into a sparse matrix in csr format that is defined by arrayscsrvalc,csrrowptrc, andcsrcolindc. letm(=mb*blockdim)be the number of rows ofaandn(=nb*blockdim)be number of columns ofa, thenaandcarem*nsparse matrices. the bsr format ofacontainsnnzb(=bsrrowptra[mb]-bsrrowptra[0])nonzero blocks, whereas the sparse matrixacontainsnnz(=nnzb*blockdim*blockdim)elements. the user must allocate enough space for arrayscsrrowptrc,csrcolindc, andcsrvalc. the requirements are as follows: csrrowptrcofm+1elements csrvalcofnnzelements csrcolindcofnnzelements the general procedure is as follows: input output seecusparsestatus_tfor the description of the return status.",1
5.9.2.cusparse<t>gebsr2gebsc(),#gebsr2gebsc,"5.9.2.cusparse<t>gebsr2gebsc() this function can be seen as the same ascsr2csc()when each block of sizerowblockdim*colblockdimis regarded as a scalar. this sparsity pattern of the result matrix can also be seen as the transpose of the original sparse matrix, but the memory layout of a block does not change. the user must callgebsr2gebsc_buffersize()to determine the size of the buffer required bygebsr2gebsc(), allocate the buffer, and pass the buffer pointer togebsr2gebsc(). input output seecusparsestatus_tfor the description of the return status.",1
5.9.3.cusparse<t>gebsr2gebsr(),#gebsr2gebsr,"5.9.3.cusparse<t>gebsr2gebsr() this function converts a sparse matrix in general bsr format that is defined by the three arraysbsrvala,bsrrowptra, andbsrcolindainto a sparse matrix in another general bsr format that is defined by arraysbsrvalc,bsrrowptrc, andbsrcolindc. ifrowblockdima=1andcolblockdima=1,cusparse[s|d|c|z]gebsr2gebsr()is the same ascusparse[s|d|c|z]csr2gebsr(). ifrowblockdimc=1andcolblockdimc=1,cusparse[s|d|c|z]gebsr2gebsr()is the same ascusparse[s|d|c|z]gebsr2csr(). ais anm*nsparse matrix wherem(=mb*rowblockdim)is the number of rows ofa, andn(=nb*colblockdim)is the number of columns ofa. the general bsr format ofacontainsnnzb(=bsrrowptra[mb]-bsrrowptra[0])nonzero blocks. the matrixcis also general bsr format with a different block size,rowblockdimc*colblockdimc. ifmis not a multiple ofrowblockdimc, ornis not a multiple ofcolblockdimc, zeros are filled in. the number of block rows ofcismc(=(m+rowblockdimc-1)/rowblockdimc). the number of block rows ofcisnc(=(n+colblockdimc-1)/colblockdimc). the number of nonzero blocks ofcisnnzc. the implementation adopts a two-step approach to do the conversion. first, the user allocatesbsrrowptrcofmc+1elements and uses functioncusparsexgebsr2gebsrnnz()to determine the number of nonzero block columns per block row of matrixc. second, the user gathersnnzc(number of non-zero block columns of matrixc) from either(nnzc=*nnztotaldevhostptr)or(nnzc=bsrrowptrc[mc]-bsrrowptrc[0])and allocatesbsrvalcofnnzc*rowblockdimc*colblockdimcelements andbsrcolindcofnnzcintegers. finally the functioncusparse[s|d|c|z]gebsr2gebsr()is called to complete the conversion. the user must callgebsr2gebsr_buffersize()to know the size of the buffer required bygebsr2gebsr(), allocate the buffer, and pass the buffer pointer togebsr2gebsr(). the general procedure is as follows: input output seecusparsestatus_tfor the description of the return status.",1
5.9.4.cusparse<t>gebsr2csr(),#gebsr2csr,"5.9.4.cusparse<t>gebsr2csr() this function converts a sparse matrix in general bsr format that is defined by the three arraysbsrvala,bsrrowptra, andbsrcolindainto a sparse matrix in csr format that is defined by arrayscsrvalc,csrrowptrc, andcsrcolindc. letm(=mb*rowblockdim)be number of rows ofaandn(=nb*colblockdim)be number of columns ofa, thenaandcarem*nsparse matrices. the general bsr format ofacontainsnnzb(=bsrrowptra[mb]-bsrrowptra[0])non-zero blocks, whereas sparse matrixacontainsnnz(=nnzb*rowblockdim*colblockdim)elements. the user must allocate enough space for arrayscsrrowptrc,csrcolindc, andcsrvalc. the requirements are as follows: csrrowptrcofm+1elements csrvalcofnnzelements csrcolindcofnnzelements the general procedure is as follows: input output seecusparsestatus_tfor the description of the return status.",1
5.9.5.cusparse<t>csr2gebsr(),#csr2gebsr,"5.9.5.cusparse<t>csr2gebsr() this function converts a sparse matrixain csr format (that is defined by arrayscsrvala,csrrowptra, andcsrcolinda) into a sparse matrixcin general bsr format (that is defined by the three arraysbsrvalc,bsrrowptrc, andbsrcolindc). the matrix a is am*nsparse matrix and matrixcis a(mb*rowblockdim)*(nb*colblockdim)sparse matrix, wheremb(=(m+rowblockdim-1)/rowblockdim)is the number of block rows ofc, andnb(=(n+colblockdim-1)/colblockdim)is the number of block columns ofc. the block ofcis of sizerowblockdim*colblockdim. ifmis not multiple ofrowblockdimornis not multiple ofcolblockdim, zeros are filled in. the implementation adopts a two-step approach to do the conversion. first, the user allocatesbsrrowptrcofmb+1elements and uses functioncusparsexcsr2gebsrnnz()to determine the number of nonzero block columns per block row. second, the user gathersnnzb(number of nonzero block columns of matrixc) from either(nnzb=*nnztotaldevhostptr)or(nnzb=bsrrowptrc[mb]-bsrrowptrc[0])and allocatesbsrvalcofnnzb*rowblockdim*colblockdimelements andbsrcolindcofnnzbintegers. finally functioncusparse[s|d|c|z]csr2gebsr()is called to complete the conversion. the user must obtain the size of the buffer required bycsr2gebsr()by callingcsr2gebsr_buffersize(), allocate the buffer, and pass the buffer pointer tocsr2gebsr(). the general procedure is as follows: the routinecusparsexcsr2gebsrnnz()has the following properties: the routinecusparse<t>csr2gebsr()has the following properties: input output seecusparsestatus_tfor the description of the return status.",1
5.9.6.cusparse<t>coo2csr(),#coo2csr,5.9.6.cusparse<t>coo2csr() this function converts the array containing the uncompressed row indices (corresponding to coo format) into an array of compressed row pointers (corresponding to csr format). it can also be used to convert the array containing the uncompressed column indices (corresponding to coo format) into an array of column pointers (corresponding to csc format). input output seecusparsestatus_tfor the description of the return status.,1
5.9.7.cusparse<t>csr2coo(),#csr2coo,5.9.7.cusparse<t>csr2coo() this function converts the array containing the compressed row pointers (corresponding to csr format) into an array of uncompressed row indices (corresponding to coo format). it can also be used to convert the array containing the compressed column indices (corresponding to csc format) into an array of uncompressed column indices (corresponding to coo format). input output seecusparsestatus_tfor the description of the return status.,1
5.9.8.cusparsecsr2cscex2(),#cusparsecsr2cscex2,"5.9.8.cusparsecsr2cscex2() this function converts a sparse matrix in csr format (that is defined by the three arrayscsrval,csrrowptr, andcsrcolind) into a sparse matrix in csc format (that is defined by arrayscscval,cscrowind, andcsccolptr). the resulting matrix can also be seen as the transpose of the original sparse matrix. notice that this routine can also be used to convert a matrix in csc format into a matrix in csr format. the routine requires extra storage proportional to the number of nonzero valuesnnz. it provides in output always the same matrix. it is executed asynchronously with respect to the host, and it may return control to the application on the host before the result is ready. the functioncusparsecsr2cscex2_buffersize()returns the size of the workspace needed bycusparsecsr2cscex2(). user needs to allocate a buffer of this size and give that buffer tocusparsecsr2cscex2()as an argument. ifnnz==0, thencsrcolind,csrval,cscval, andcscrowindcould havenullvalue. in this case,csccolptris set toidxbasefor all values. ifm==0orn==0, the pointers are not checked and the routine returnscusparse_status_success. input cusparsecsr2cscex2()supports the following data types: cusparsecsr2cscex2()supports the following algorithms (cusparsecsr2cscalg_t): cusparsecsr2cscex2()has the following properties: cusparsecsr2cscex2()supports the followingoptimizations: seecusparsestatus_tfor the description of the return status.",1
5.9.9.cusparse<t>nnz(),#nnz,5.9.9.cusparse<t>nnz() this function computes the number of nonzero elements per row or column and the total number of nonzero elements in a dense matrix. input output seecusparsestatus_tfor the description of the return status.,1
5.9.10.cusparsecreateidentitypermutation() [deprecated],#cusparsecreateidentitypermutation-deprecated,"5.9.10.cusparsecreateidentitypermutation() [deprecated] this function creates an identity map. the output parameterprepresents such map byp=0:1:(n-1). this function is typically used withcoosort,csrsort,cscsort. input output seecusparsestatus_tfor the description of the return status.",1
5.9.11.cusparsexcoosort(),#cusparsexcoosort,"5.9.11.cusparsexcoosort() this function sorts coo format. the sorting is in-place. also the user can sort by row or sort by column. ais anmnsparse matrix that is defined in coo storage format by the three arrayscoovals,coorows, andcoocols. there is no assumption for the base index of the matrix.coosortuses stable sort on signed integer, so the value ofcoorowsorcoocolscan be negative. this functioncoosort()requires buffer size returned bycoosort_buffersizeext(). the address ofpbuffermust be multiple of 128 bytes. if not,cusparse_status_invalid_valueis returned. the parameterpis both input and output. if the user wants to compute sortedcooval,pmust be set as 0:1:(nnz-1) beforecoosort(), and aftercoosort(), new sorted value array satisfiescooval_sorted=cooval(p). remark: the dimensionmandnare not used. if the user does not know the value ofmorn, just passes a value positive. this usually happens if the user only reads a coo array first and needs to decide the dimensionmornlater. input output seecusparsestatus_tfor the description of the return status please visitcusparse library samples - cusparsexcoosortbyrowfor a code example.",1
5.9.12.cusparsexcsrsort(),#cusparsexcsrsort,"5.9.12.cusparsexcsrsort() this function sorts csr format. the stable sorting is in-place. the matrix type is regarded ascusparse_matrix_type_generalimplicitly. in other words, any symmetric property is ignored. this functioncsrsort()requires buffer size returned bycsrsort_buffersizeext(). the address ofpbuffermust be multiple of 128 bytes. if not,cusparse_status_invalid_valueis returned. the parameterpis both input and output. if the user wants to compute sortedcsrval,pmust be set as 0:1:(nnz-1) beforecsrsort(), and aftercsrsort(), new sorted value array satisfiescsrval_sorted=csrval(p). the general procedure is as follows: input output seecusparsestatus_tfor the description of the return status.",1
5.9.13.cusparsexcscsort(),#cusparsexcscsort,"5.9.13.cusparsexcscsort() this function sorts csc format. the stable sorting is in-place. the matrix type is regarded ascusparse_matrix_type_generalimplicitly. in other words, any symmetric property is ignored. this functioncscsort()requires buffer size returned bycscsort_buffersizeext(). the address ofpbuffermust be multiple of 128 bytes. if not,cusparse_status_invalid_valueis returned. the parameterpis both input and output. if the user wants to compute sortedcscval,pmust be set as 0:1:(nnz-1) beforecscsort(), and aftercscsort(), new sorted value array satisfiescscval_sorted=cscval(p). the general procedure is as follows: input output seecusparsestatus_tfor the description of the return status.",1
5.9.14.cusparsexcsru2csr() [deprecated],#cusparsexcsru2csr-deprecated,"5.9.14.cusparsexcsru2csr() [deprecated] this function transfers unsorted csr format to csr format, and vice versa. the operation is in-place. this function is a wrapper ofcsrsortandgthr. the usecase is the following scenario. if the user has a matrixaof csr format which is unsorted, and implements his own code (which can be cpu or gpu kernel) based on this special order (for example, diagonal first, then lower triangle, then upper triangle), and wants to convert it to csr format when calling cusparse library, and then convert it back when doing something else on his/her kernel. for example, suppose the user wants to solve a linear systemax=bby the following iterative scheme the code heavily uses spmv and triangular solve. assume that the user has an in-house design of spmv (sparse matrix-vector multiplication) based on special order ofa. however the user wants to use the cusparse library for triangular solver. then the following code can work. the requirements of step 2 and step 5 are the operation is calledcsru2csr, which means unsorted csr to sorted csr. also we provide the inverse operation, calledcsr2csru. in order to keep the permutation vector invisible, we need an opaque structure calledcsru2csrinfo. then two functions (cusparsecreatecsru2csrinfo,cusparsedestroycsru2csrinfo) are used to initialize and to destroy the opaque structure. cusparse[s|d|c|z]csru2csr_buffersizeextreturns the size of the buffer. the permutation vectorpis also allcated insidecsru2csrinfo. the lifetime of the permutation vector is the same as the lifetime ofcsru2csrinfo. cusparse[s|d|c|z]csru2csrperforms forward transformation from unsorted csr to sorted csr. first call uses csrsort to generate the permutation vectorp, and subsequent call usespto do transformation. cusparse[s|d|c|z]csr2csruperforms backward transformation from sorted csr to unsorted csr.pis used to get unsorted form back. the routinecusparse<t>csru2csr()has the following properties: the routinecusparse<t>csr2csru()has the following properties ifpbuffer!=null: the following tables describe parameters ofcsr2csru_buffersizeextandcsr2csru. input output seecusparsestatus_tfor the description of the return status.",1
5.9.15.cusparsexprunedense2csr() [deprecated],#cusparsexprunedense2csr-deprecated,"5.9.15.cusparsexprunedense2csr() [deprecated] this function prunes a dense matrix to a sparse matrix with csr format. given a dense matrixaand a non-negative valuethreshold, the function returns a sparse matrixc, defined by the implementation adopts a two-step approach to do the conversion. first, the user allocatescsrrowptrcofm+1elements and uses functionprunedense2csrnnz()to determine the number of nonzeros columns per row. second, the user gathersnnzc(number of nonzeros of matrixc) from either(nnzc=*nnztotaldevhostptr)or(nnzc=csrrowptrc[m]-csrrowptrc[0])and allocatescsrvalcofnnzcelements andcsrcolindcofnnzcintegers. finally functionprunedense2csr()is called to complete the conversion. the user must obtain the size of the buffer required byprunedense2csr()by callingprunedense2csr_buffersizeext(), allocate the buffer, and pass the buffer pointer toprunedense2csr(). examples of prunechapter provides a simple example ofprunedense2csr(). the routinecusparse<t>prunedense2csrnnz()has the following properties: the routinecusparse<t>dprunedense2csr()has the following properties: input output seecusparsestatus_tfor the description of the return status.",1
5.9.16.cusparsexprunecsr2csr()  [deprecated],#cusparsexprunecsr2csr-deprecated,"5.9.16.cusparsexprunecsr2csr()  [deprecated] this function prunes a sparse matrix to a sparse matrix with csr format. given a sparse matrixaand a non-negative valuethreshold, the function returns a sparse matrixc, defined by the implementation adopts a two-step approach to do the conversion. first, the user allocatescsrrowptrcofm+1elements and uses functionprunecsr2csrnnz()to determine the number of nonzeros columns per row. second, the user gathersnnzc(number of nonzeros of matrixc) from either(nnzc=*nnztotaldevhostptr)or(nnzc=csrrowptrc[m]-csrrowptrc[0])and allocatescsrvalcofnnzcelements andcsrcolindcofnnzcintegers. finally functionprunecsr2csr()is called to complete the conversion. the user must obtain the size of the buffer required byprunecsr2csr()by callingprunecsr2csr_buffersizeext(), allocate the buffer, and pass the buffer pointer toprunecsr2csr(). examples of prunechapter provides a simple example ofprunecsr2csr(). the routinecusparse<t>prunecsr2csrnnz()has the following properties: the routinecusparse<t>prunecsr2csr()has the following properties: input output seecusparsestatus_tfor the description of the return status.",1
5.9.17.cusparsexprunedense2csrpercentage()  [deprecated],#cusparsexprunedense2csrpercentage-deprecated,"5.9.17.cusparsexprunedense2csrpercentage()  [deprecated] this function prunes a dense matrix to a sparse matrix by percentage. given a dense matrixaand a non-negative valuepercentage, the function computes sparse matrixcby the following three steps: step 1: sort absolute value ofain ascending order. step 2: choose threshold by the parameterpercentage step 3: callprunedense2csr()by with the parameterthreshold. the implementation adopts a two-step approach to do the conversion. first, the user allocatescsrrowptrcofm+1elements and uses functionprunedense2csrnnzbypercentage()to determine the number of nonzeros columns per row. second, the user gathersnnzc(number of nonzeros of matrixc) from either(nnzc=*nnztotaldevhostptr)or(nnzc=csrrowptrc[m]-csrrowptrc[0])and allocatescsrvalcofnnzcelements andcsrcolindcofnnzcintegers. finally functionprunedense2csrbypercentage()is called to complete the conversion. the user must obtain the size of the buffer required byprunedense2csrbypercentage()by callingprunedense2csrbypercentage_buffersizeext(), allocate the buffer, and pass the buffer pointer toprunedense2csrbypercentage(). remark 1: the value ofpercentagemust be not greater than 100. otherwise,cusparse_status_invalid_valueis returned. remark 2: the zeros ofaare not ignored. all entries are sorted, including zeros. this is different fromprunecsr2csrbypercentage() examples of prunechapter provides a simple example ofprunedense2csrnnzbypercentage(). the routinecusparse<t>prunedense2csrnnzbypercentage()has the following properties: the routinecusparse<t>prunedense2csrbypercentage()has the following properties: input output seecusparsestatus_tfor the description of the return status.",1
5.9.18.cusparsexprunecsr2csrbypercentage() [deprecated],#cusparsexprunecsr2csrbypercentage-deprecated,"5.9.18.cusparsexprunecsr2csrbypercentage() [deprecated] this function prunes a sparse matrix to a sparse matrix by percentage. given a sparse matrixaand a non-negative valuepercentage, the function computes sparse matrixcby the following three steps: step 1: sort absolute value ofain ascending order. step 2: choose threshold by the parameterpercentage step 3: callprunecsr2csr()by with the parameterthreshold. the implementation adopts a two-step approach to do the conversion. first, the user allocatescsrrowptrcofm+1elements and uses functionprunecsr2csrnnzbypercentage()to determine the number of nonzeros columns per row. second, the user gathersnnzc(number of nonzeros of matrixc) from either(nnzc=*nnztotaldevhostptr)or(nnzc=csrrowptrc[m]-csrrowptrc[0])and allocatescsrvalcofnnzcelements andcsrcolindcofnnzcintegers. finally functionprunecsr2csrbypercentage()is called to complete the conversion. the user must obtain the size of the buffer required byprunecsr2csrbypercentage()by callingprunecsr2csrbypercentage_buffersizeext(), allocate the buffer, and pass the buffer pointer toprunecsr2csrbypercentage(). remark 1: the value ofpercentagemust be not greater than 100. otherwise,cusparse_status_invalid_valueis returned. examples of prunechapter provides a simple example ofprunecsr2csrbypercentage(). the routinecusparse<t>prunecsr2csrnnzbypercentage()has the following properties: the routinecusparse<t>prunecsr2csrbypercentage()has the following properties: input output seecusparsestatus_tfor the description of the return status.",1
5.9.19.cusparse<t>nnz_compress()[deprecated],#nnz_compress,"5.9.19.cusparse<t>nnz_compress()[deprecated] this function is the step one to convert from csr format to compressed csr format. given a sparse matrix a and a non-negative value threshold, the function returns nnzperrow(the number of nonzeros columns per row) and nnzc(the total number of nonzeros) of a sparse matrix c, defined by a key assumption for the cucomplex and cudoublecomplex case is that this tolerance is given as the real part. for example tol = 1e-8 + 0*i and we extract cureal, that is the x component of this struct. input output seecusparsestatus_tfor the description of the return status.",1
6.cusparse generic apis,#cusparse-generic-apis,"6.cusparse generic apis the cusparse generic apis allow computing the most common sparse linear algebra operations, such as sparse matrix-vector (spmv) and sparse matrix-matrix multiplication (spmm), in a flexible way. the new apis have the following capabilities and features:",1
6.1.generic types reference,#generic-types-reference,6.1.generic types reference the cusparse generic type references are described in this section.,8
6.1.1.cusparseformat_t,#cusparseformat-t,"6.1.1.cusparseformat_t this type indicates the format of the sparse matrix.
seecusparse storage formatfor their description.",1
6.1.2.cusparseorder_t,#cusparseorder-t,6.1.2.cusparseorder_t this type indicates the memory layout of a dense matrix.,1
6.1.3.cusparseindextype_t,#cusparseindextype-t,6.1.3.cusparseindextype_t this type indicates the index type for representing the sparse matrix indices.,1
6.2.dense vector apis,#dense-vector-apis,6.2.dense vector apis the cusparse helper functions for dense vector descriptor are described in this section. see thedense vector formatsection for the detailed description of the storage format.,1
6.2.1.cusparsecreatednvec(),#cusparsecreatednvec,6.2.1.cusparsecreatednvec() this function initializes the dense vector descriptordnvecdescr. cusparsecreatednvec()has the following constraints: seecusparsestatus_tfor the description of the return status.,1
6.2.2.cusparsedestroydnvec(),#cusparsedestroydnvec,6.2.2.cusparsedestroydnvec() this function releases the host memory allocated for the dense vector descriptordnvecdescr. seecusparsestatus_tfor the description of the return status.,1
6.2.3.cusparsednvecget(),#cusparsednvecget,6.2.3.cusparsednvecget() this function returns the fields of the dense vector descriptordnvecdescr. seecusparsestatus_tfor the description of the return status.,1
6.2.4.cusparsednvecgetvalues(),#cusparsednvecgetvalues,6.2.4.cusparsednvecgetvalues() this function returns thevaluesfield of the dense vector descriptordnvecdescr. seecusparsestatus_tfor the description of the return status.,1
6.2.5.cusparsednvecsetvalues(),#cusparsednvecsetvalues,6.2.5.cusparsednvecsetvalues() this function set thevaluesfield of the dense vector descriptordnvecdescr. cusparsednvecsetvalues()has the following constraints: seecusparsestatus_tfor the description of the return status.,1
6.3.sparse vector apis,#sparse-vector-apis,6.3.sparse vector apis the cusparse helper functions for sparse vector descriptor are described in this section. see thesparse vector formatsection for the detailed description of the storage format.,1
6.3.1.cusparsecreatespvec(),#cusparsecreatespvec,6.3.1.cusparsecreatespvec() this function initializes the sparse matrix descriptorspvecdescr. cusparsecreatespvec()has the following constraints: seecusparsestatus_tfor the description of the return status.,1
6.3.2.cusparsedestroyspvec(),#cusparsedestroyspvec,6.3.2.cusparsedestroyspvec() this function releases the host memory allocated for the sparse vector descriptorspvecdescr. seecusparsestatus_tfor the description of the return status.,1
6.3.3.cusparsespvecget(),#cusparsespvecget,6.3.3.cusparsespvecget() this function returns the fields of the sparse vector descriptorspvecdescr. seecusparsestatus_tfor the description of the return status.,1
6.3.4.cusparsespvecgetindexbase(),#cusparsespvecgetindexbase,6.3.4.cusparsespvecgetindexbase() this function returns theidxbasefield of the sparse vector descriptorspvecdescr. seecusparsestatus_tfor the description of the return status.,1
6.3.5.cusparsespvecgetvalues(),#cusparsespvecgetvalues,6.3.5.cusparsespvecgetvalues() this function returns thevaluesfield of the sparse vector descriptorspvecdescr. seecusparsestatus_tfor the description of the return status.,1
6.3.6.cusparsespvecsetvalues(),#cusparsespvecsetvalues,6.3.6.cusparsespvecsetvalues() this function set thevaluesfield of the sparse vector descriptorspvecdescr. cusparsednvecsetvalues()has the following constraints: seecusparsestatus_tfor the description of the return status.,1
6.4.dense matrix apis,#dense-matrix-apis,6.4.dense matrix apis the cusparse helper functions for dense matrix descriptor are described in this section. see thedense matrix formatsection for the detailed description of the storage format.,1
6.4.1.cusparsecreatednmat(),#cusparsecreatednmat,6.4.1.cusparsecreatednmat() the function initializes the dense matrix descriptordnmatdescr. cusparsecreatednmat()has the following constraints: seecusparsestatus_tfor the description of the return status.,1
6.4.2.cusparsedestroydnmat(),#cusparsedestroydnmat,6.4.2.cusparsedestroydnmat() this function releases the host memory allocated for the dense matrix descriptordnmatdescr. seecusparsestatus_tfor the description of the return status.,1
6.4.3.cusparsednmatget(),#cusparsednmatget,6.4.3.cusparsednmatget() this function returns the fields of the dense matrix descriptordnmatdescr. seecusparsestatus_tfor the description of the return status.,1
6.4.4.cusparsednmatgetvalues(),#cusparsednmatgetvalues,6.4.4.cusparsednmatgetvalues() this function returns thevaluesfield of the dense matrix descriptordnmatdescr. seecusparsestatus_tfor the description of the return status.,1
6.4.5.cusparsednmatsetvalues(),#cusparsednmatsetvalues,6.4.5.cusparsednmatsetvalues() this function sets thevaluesfield of the dense matrix descriptordnmatdescr. cusparsednmatsetvalues()has the following constraints: seecusparsestatus_tfor the description of the return status.,1
6.4.6.cusparsednmatgetstridedbatch(),#cusparsednmatgetstridedbatch,6.4.6.cusparsednmatgetstridedbatch() the function returns the number of batches and the batch stride of the dense matrix descriptordnmatdescr. seecusparsestatus_tfor the description of the return status.,1
6.4.7.cusparsednmatsetstridedbatch(),#cusparsednmatsetstridedbatch,6.4.7.cusparsednmatsetstridedbatch() the function sets the number of batches and the batch stride of the dense matrix descriptordnmatdescr. seecusparsestatus_tfor the description of the return status.,1
6.5.sparse matrix apis,#sparse-matrix-apis,"6.5.sparse matrix apis the cusparse helper functions for sparse matrix descriptor are described in this section. see thecoo,csr,csc,sell,bsr,blocked-ellsections for the detailed description of the storage formats.",1
6.5.1.coordinate (coo),#id1,6.5.1.coordinate (coo),9
6.5.2.compressed sparse row (csr),#id2,6.5.2.compressed sparse row (csr),1
6.5.3.compressed sparse column (csc),#id3,6.5.3.compressed sparse column (csc),1
6.5.4.blocked-ellpack (blocked-ell),#id4,6.5.4.blocked-ellpack (blocked-ell),9
6.5.5.sliced-ellpack (sell),#id5,6.5.5.sliced-ellpack (sell),9
6.5.6.block sparse row (bsr),#id6,6.5.6.block sparse row (bsr),1
6.5.7.all sparse formats,#all-sparse-formats,6.5.7.all sparse formats,9
6.6.generic api functions,#generic-api-functions,6.6.generic api functions,6
6.6.1.cusparseaxpby(),#cusparseaxpby,"6.6.1.cusparseaxpby() the function computes the sum of a sparse vectorvecxand a dense vectorvecy. in other words, cusparseaxpbysupports the following index type for representing the sparse vectorvecx: cusparseaxpbysupports the following data types: uniform-precision computation: mixed-precision computation: cusparseaxpby()has the following constraints: cusparseaxpby()has the following properties: cusparseaxpby()supports the followingoptimizations: seecusparsestatus_tfor the description of the return status. please visitcusparse library samples - cusparseaxpbyfor a code example.",1
6.6.2.cusparsegather(),#cusparsegather,"6.6.2.cusparsegather() the function gathers the elements of the dense vectorvecyinto the sparse vectorvecx in other words, cusparsegathersupports the following index type for representing the sparse vectorvecx: cusparsegathersupports the following data types: cusparsegather()has the following constraints: cusparsegather()has the following properties: cusparsegather()supports the followingoptimizations: seecusparsestatus_tfor the description of the return status. please visitcusparse library samples - cusparsegatherfor a code example.",1
6.6.3.cusparsescatter(),#cusparsescatter,"6.6.3.cusparsescatter() the function scatters the elements of the sparse vectorvecxinto the dense vectorvecy in other words, cusparsescattersupports the following index type for representing the sparse vectorvecx: cusparsescattersupports the following data types: cusparsescatter()has the following constraints: cusparsescatter()has the following properties: cusparsescatter()supports the followingoptimizations: seecusparsestatus_tfor the description of the return status. please visitcusparse library samples - cusparsescatterfor a code example.",1
6.6.4.cusparserot() [deprecated],#cusparserot-deprecated,"6.6.4.cusparserot() [deprecated] the function computes the givens rotation matrix to a sparsevecxand a dense vectorvecy in other words, cusparserotsupports the following index type for representing the sparse vectorvecx: cusparserotsupports the following data types: uniform-precision computation: mixed-precision computation: cusparserot()has the following constraints: cusparserot()has the following properties: cusparserot()supports the followingoptimizations: seecusparsestatus_tfor the description of the return status. please visitcusparse library samples - cusparserotfor a code example.",1
